participant_id,scenario,framing,rating,framing_dummy
36211355,8,negative,7.0,0
36211355,9,negative,2.0,0
36211355,10,positive,4.0,1
36241986,1,positive,7.0,1
36241986,2,positive,7.0,1
36241986,3,negative,6.0,0
36241986,4,negative,1.0,0
36241986,5,positive,5.0,1
36241986,6,negative,7.0,0
36241986,7,positive,2.0,1
36241986,8,negative,7.0,0
36241986,9,negative,7.0,0
36241986,10,positive,7.0,1
